,id,user,tweet,created_at,prepro
508,1432306053333458946,putri dahlia,"Waspada Provokasi KAMI di Tengah Pandemi Covid-19
Disiplin Protokol Kesehatan https://t.co/LN4g9vzcQB",2021-08-30 11:35:48,"['waspada', 'provokasi', 'pandemi', 'covid', 'disiplin', 'protokol', 'sehat']"
509,1432306045167157252,Sari_Mita,Disiplin Protokol Kesehatan - Pemerintah Terus Mendistribusikan Bantuan Sosial Bagi Seluruh Masyarakat yang Terdampak Pandemi Covid-19 https://t.co/ZqnyghVe3L,2021-08-30 11:35:46,"['disiplin', 'protokol', 'sehat', 'perintah', 'distribusi', 'bantu', 'sosial', 'masyarakat', 'dampak', 'pandemi', 'covid']"
510,1432305967006289924,putri dahlia,"IDI Ajak Percepat Vaksinasi dan Lawan Disinformasi Covid-19
Disiplin Protokol Kesehatan https://t.co/MJHS4Mh9AL",2021-08-30 11:35:28,"['idi', 'ajak', 'cepat', 'vaksinasi', 'lawan', 'disinformasi', 'covid', 'disiplin', 'protokol', 'sehat']"
511,1432305840061501447,Sari_Mita,Disiplin Protokol Kesehatan - Pemerintah Berkomitmen Terus Menyediakan Stok Vaksin Covid-19 https://t.co/6MT0kYYhx2,2021-08-30 11:34:57,"['disiplin', 'protokol', 'sehat', 'perintah', 'komitmen', 'sedia', 'stok', 'vaksin', 'covid']"
512,1432305670938787843,Rakyat Bicara,"Cegah Penularan Varian Covid-19 Dengan Vaksinasi Serta Disiplin Mematuhi Prokes 6M
Disiplin Protokol Kesehatan https://t.co/7gRwdZkZML",2021-08-30 11:34:17,"['cegah', 'tular', 'varian', 'covid', 'vaksinasi', 'disiplin', 'patuh', 'prokes', 'm', 'disiplin', 'protokol', 'sehat']"
513,1432305628626644995,Info Tanah Air,"Cegah Penularan Varian Covid-19 Dengan Vaksinasi Serta Disiplin Mematuhi Prokes 6M
Disiplin Protokol Kesehatan https://t.co/EARXn7591C",2021-08-30 11:34:07,"['cegah', 'tular', 'varian', 'covid', 'vaksinasi', 'disiplin', 'patuh', 'prokes', 'm', 'disiplin', 'protokol', 'sehat']"
514,1432305600243789827,Sari_Mita,Disiplin Protokol Kesehatan - Cegah Penularan Varian Covid-19 dengan Vaksinasi serta Disiplin Mematuhi Prokes https://t.co/W38DxKM2X6,2021-08-30 11:34:00,"['disiplin', 'protokol', 'sehat', 'cegah', 'tular', 'varian', 'covid', 'vaksinasi', 'disiplin', 'patuh', 'prokes']"
515,1432305440436547584,Sumber Terpercaya,"Menkes: Vaksin Bantu Daya Imun Kuat Lawan Covid-19
https://t.co/1E9gK6tZXP
Disiplin Protokol Kesehatan",2021-08-30 11:33:22,"['menkes', 'vaksin', 'bantu', 'daya', 'imun', 'kuat', 'lawan', 'covid', 'disiplin', 'protokol', 'sehat']"
516,1432305120704827396,Mustofa Somad,Disiplin Protokol Kesehatan - Cegah Penularan Varian Covid-19 dengan Vaksinasi serta Disiplin Mematuhi Prokes https://t.co/ncD8eNOHg0,2021-08-30 11:32:06,"['disiplin', 'protokol', 'sehat', 'cegah', 'tular', 'varian', 'covid', 'vaksinasi', 'disiplin', 'patuh', 'prokes']"
517,1432305059472109584,Mustofa Somad,Disiplin Protokol Kesehatan - Pemerintah Berkomitmen Terus Menyediakan Stok Vaksin Covid-19 https://t.co/nRJjOLfqi9,2021-08-30 11:31:51,"['disiplin', 'protokol', 'sehat', 'perintah', 'komitmen', 'sedia', 'stok', 'vaksin', 'covid']"
518,1432305020003708928,Mustofa Somad,Disiplin Protokol Kesehatan - Pemerintah Terus Mendistribusikan Bantuan Sosial Bagi Seluruh Masyarakat yang Terdampak Pandemi Covid-19 https://t.co/0Ay2wjyDeq,2021-08-30 11:31:42,"['disiplin', 'protokol', 'sehat', 'perintah', 'distribusi', 'bantu', 'sosial', 'masyarakat', 'dampak', 'pandemi', 'covid']"
519,1432304812020809728,nella sari,"Menkes: Vaksin Bantu Daya Imun Kuat Lawan Covid-19
Disiplin Protokol Kesehatan https://t.co/46txAHZCgg",2021-08-30 11:30:52,"['menkes', 'vaksin', 'bantu', 'daya', 'imun', 'kuat', 'lawan', 'covid', 'disiplin', 'protokol', 'sehat']"
524,1432300253634449412,POLSEK_JETISJOGJA,"Polsek Jetis salurkan bantuan beras.

Berita lengkap klik di  :
https://t.co/Mu2iMnwfpz

@polresjogja #polresjogja #polsekjetisjogja #BersamaLawanCovid19 #TetapDisiplin5M #Covid #PPKMDarurat https://t.co/3m8PL1LXJl",2021-08-30 11:12:45,"['polsek', 'jetis', 'salur', 'bantu', 'beras', 'berita', 'lengkap', 'klik', 'polresjogja', 'polsekjetisjogja', 'bersamalawancovid', 'tetapdisiplin', 'm', 'covid', 'ppkmdarurat']"
525,1432297334847672323,Dhenox,"Waspada Provokasi KAMI di Tengah Pandemi Covid-19
https://t.co/wanqn56vx6

Disiplin Protokol Kesehatan https://t.co/9B5Buf3Ytr",2021-08-30 11:01:10,"['waspada', 'provokasi', 'pandemi', 'covid', 'disiplin', 'protokol', 'sehat']"
